wfo,Year,Event,region,Freq
ABQ,2013,freq,Southern,323
ABQ,2014,freq,Southern,289
ABQ,2015,freq,Southern,154
ABR,2013,freq,Central,618
ABR,2014,freq,Central,780
ABR,2015,freq,Central,840
AFC,2013,freq,Alaska,0
AFC,2014,freq,Alaska,0
AFC,2015,freq,Alaska,1
AFG,2013,freq,Alaska,0
AFG,2014,freq,Alaska,0
AFG,2015,freq,Alaska,1
AJK,2013,freq,Alaska,0
AJK,2014,freq,Alaska,0
AJK,2015,freq,Alaska,1
AKQ,2013,freq,Eastern,165
AKQ,2014,freq,Eastern,117
AKQ,2015,freq,Eastern,117
ALY,2013,freq,Eastern,165
ALY,2014,freq,Eastern,117
ALY,2015,freq,Eastern,117
AMA,2013,freq,Southern,323
AMA,2014,freq,Southern,289
AMA,2015,freq,Southern,154
APX,2013,freq,Central,618
APX,2014,freq,Central,780
APX,2015,freq,Central,840
ARX,2013,freq,Central,618
ARX,2014,freq,Central,780
ARX,2015,freq,Central,840
BGM,2013,freq,Eastern,165
BGM,2014,freq,Eastern,117
BGM,2015,freq,Eastern,117
BIS,2013,freq,Central,618
BIS,2014,freq,Central,780
BIS,2015,freq,Central,840
BMX,2013,freq,Southern,323
BMX,2014,freq,Southern,289
BMX,2015,freq,Southern,154
BOI,2013,freq,Western,98
BOI,2014,freq,Western,239
BOI,2015,freq,Western,191
BOU,2013,freq,Central,618
BOU,2014,freq,Central,780
BOU,2015,freq,Central,840
BOX,2013,freq,Eastern,165
BOX,2014,freq,Eastern,117
BOX,2015,freq,Eastern,117
BRO,2013,freq,Southern,323
BRO,2014,freq,Southern,289
BRO,2015,freq,Southern,154
BTV,2013,freq,Eastern,165
BTV,2014,freq,Eastern,117
BTV,2015,freq,Eastern,117
BUF,2013,freq,Eastern,165
BUF,2014,freq,Eastern,117
BUF,2015,freq,Eastern,117
BYZ ,2013,freq,Western,98
BYZ ,2014,freq,Western,239
BYZ ,2015,freq,Western,191
