"","GHCND.ID","EVENTS.begin_date","EVENTS.ID","EVENTS.begin_time_UTC","EVENTS.end_date","EVENTS.end_time_UTC","EVENTS.state","EVENTS.fips","EVENTS.type","EVENTS.czfips","EVENTS.czname","EVENTS.WFO","EVENTS.flood_cause","EVENTS.hurricane_category","EVENTS.tornado_F_scale","EVENTS.begin_lat","EVENTS.begin_lon","EVENTS.end_lat","EVENTS.end_lon","EVENTS.damage_value","EVENTS.damage_magnitude","EVENTS.damage_unit","GHCND.name","GHCND.lat","GHCND.lon","GHCND.dist_from_event.km","MOS.ICAO","MOS.name","MOS.lat","MOS.lon","MOS.st","MOS.dist_from_event.km","GHCND.prcp_cat"
"1","US10adam046",2011-10-18,343464,"1300",2011-10-19,"0000","OHIO",39,"Heavy Rain",115,"MORGAN","RLX","",NA,"",39.53,-81.93,39.65,-81.85,0,3,"USD","HASTINGS 3.3 SW",40.5443,-98.4208,1.24887538366404,"KZZV","ZANESVILLE",39.95,-81.9,"OH",46.8246556597818,0
"2","US10adam046",2011-10-18,343464,"1300",2011-10-19,"0000","OHIO",39,"Heavy Rain",115,"MORGAN","RLX","",NA,"",39.53,-81.93,39.65,-81.85,0,3,"USD","HASTINGS 3.3 SW",40.5443,-98.4208,1.24887538366404,"KZZV","ZANESVILLE",39.95,-81.9,"OH",46.8246556597818,0
"3","US10adam046",2011-10-18,343465,"1300",2011-10-19,"0000","OHIO",39,"Heavy Rain",105,"MEIGS","RLX","",NA,"",39.05,-82.28,39.05,-82.28,0,3,"USD","HASTINGS 3.3 SW",40.5443,-98.4208,0.557000967570434,"KHTS","HUNTINGTON",38.37,-82.55,"WV",79.2472302976936,0
"4","US10adam046",2011-10-18,343465,"1300",2011-10-19,"0000","OHIO",39,"Heavy Rain",105,"MEIGS","RLX","",NA,"",39.05,-82.28,39.05,-82.28,0,3,"USD","HASTINGS 3.3 SW",40.5443,-98.4208,0.557000967570434,"KHTS","HUNTINGTON",38.37,-82.55,"WV",79.2472302976936,0
"5","US10buff002",2011-07-05,331501,"2000",2011-07-05,"2200","CALIFORNIA",6,"Heavy Rain",71,"SAN BERNARDINO","SGX","",NA,"",34.27,-116.85,34.27,-116.85,0,3,"USD","KEARNEY 1.8 WNW",40.7062,-99.1142,1.40143179312198,"KRIV","MARCH AFB",33.9,-117.25,"CA",55.2852613958564,0
"6","US10buff004",2011-12-03,356078,"0200",2011-12-06,"0800","MISSOURI",29,"Heavy Rain",201,"SCOTT","PAH","",NA,"",37.15,-89.45,37.15,-89.45,0,3,"USD","KEARNEY 0.9 SW",40.6908,-99.094,0.118917958223143,"KCGI","CAPE GIRARDEAU",37.23,-89.58,"MO",14.5676374405921,0
"7","US10buff007",2011-08-18,341499,"0146",2011-08-18,"0146","MISSOURI",29,"Heavy Rain",75,"GENTRY","EAX","",NA,"",40.22,-94.55,40.22,-94.55,0,3,"USD","RAVENNA 3.3 SE",40.9903,-98.8699,1.91114099950829,"KSTJ","ST. JOSEPH",39.77,-94.92,"MO",59.2034041258624,0
"8","US10buff008",2011-07-22,331731,"0210",2011-07-22,"0240","NORTH DAKOTA",38,"Heavy Rain",57,"MERCER","BIS","",NA,"",47.45,-101.92,47.45,-101.92,0,3,"USD","RAVENNA 5.3 SW",40.9593,-98.9631,3.63171462690817,"KN60","GARRISON",47.65,-101.38,"ND",46.2797388510938,3
"9","US10buff013",2011-07-22,331727,"0100",2011-07-22,"0130","NORTH DAKOTA",38,"Heavy Rain",53,"MCKENZIE","BIS","",NA,"",47.6,-103.26,47.6,-103.26,0,3,"USD","ELM CREEK 2.2 WSW",40.6995,-99.4062,1.04798196944307,"KISN","WILLISTON",48.18,-103.63,"ND",70.2243277924365,1
"10","US10clay008",2011-02-28,286247,"0605",2011-02-28,"0605","TEXAS",48,"Heavy Rain",181,"GRAYSON","FWD","",NA,"",33.6764,-96.3913,33.6764,-96.3913,0,3,"USD","CLAY CENTER 4.8 SSE",40.4549,-98.0329,1.22996455368844,"KGYI","DENISON",33.7,-96.67,"TX",25.9480349994897,0
"11","US10clay008",2011-04-19,293990,"1915",2011-04-19,"2115","OHIO",39,"Heavy Rain",135,"PREBLE","ILN","",NA,"",39.75,-84.63,39.75,-84.63,1,3,"USD","CLAY CENTER 4.8 SSE",40.4549,-98.0329,1.87020271208497,"KMGY","DAYTON-WRIGHT BROS.",39.59,-84.23,"OH",38.6261149628823,4
"12","US10clay029",2011-04-19,294004,"1820",2011-04-19,"2100","OHIO",39,"Heavy Rain",45,"FAIRFIELD","ILN","",NA,"",39.85,-82.6,39.82,-82.52,1,3,"USD","FAIRFIELD 1.6 S",40.4086,-98.1087,1.20711860208869,"KLHQ","LANCASTER",39.75,-82.67,"OH",12.6396747527097,4
"13","US10cumi007",2011-03-27,282881,"0304",2011-03-27,"0503","HAWAII",15,"Heavy Rain",1,"HAWAII","HFO","",NA,"",19.2207,-155.4263,19.109,-155.5417,0,3,"USD","WEST POINT 1.5 S",41.82,-96.71,1.38673083990663,"PHSF","BRADSHAW AAF",19.78,-155.55,"HI",63.5996757535312,2
"14","US10deue012",2011-06-04,308611,"0624",2011-06-04,"0723","HAWAII",15,"Heavy Rain",9,"MAUI","HFO","",NA,"",21.1435,-156.9672,21.141,-156.7365,0,3,"USD","CHAPPELL 6.6 WSW",41.0479,-102.5835,3.67556016336705,"PHMK","MOLOKAI",21.15,-157.1,"HI",13.8066913223949,0
"15","US10dodg005",2011-04-06,288721,"0855",2011-04-07,"1211","HAWAII",15,"Heavy Rain",3,"HONOLULU","HFO","",NA,"",21.4085,-157.7499,21.3957,-158.0232,0,3,"USD","SCRIBNER 2.0 E",41.668,-96.628,2.80309794818684,"PHNG","KANEOHE BAY MCAS",21.43,-157.77,"HI",3.17285904296152,0
"16","US10fran001",2011-04-27,296572,"2200",2011-04-27,"2220","ILLINOIS",17,"Heavy Rain",65,"HAMILTON","PAH","",NA,"",38.2,-88.68,38.2,-88.68,0,3,"USD","RIVERTON 3.2 WSW",40.0747,-98.8176,1.05006588765122,"KMVN","MT. VERNON",38.32,-88.87,"IL",21.3134039223676,0
"17","US10fran002",2011-07-30,337348,"2100",2011-07-30,"2145","OKLAHOMA",40,"Heavy Rain",73,"KINGFISHER","OUN","",NA,"",35.98,-97.91,35.98,-97.91,0,3,"USD","HILDRETH 4.5 SSE",40.2732,-99.0295,2.44552374136606,"KEND","VANCE AFB",36.35,-97.92,"OK",41.1980149843673,0
"18","US10fran009",2011-07-24,330959,"1300",2011-07-25,"1300","NEBRASKA",31,"Heavy Rain",1,"ADAMS","GID","",NA,"",40.5391,-98.4339,40.5391,-98.4339,0,3,"USD","UPLAND 5.4 SSE",40.2478,-98.8561,0.398890584345677,"KHSI","HASTINGS",40.6,-98.43,"NE",6.78737350639575,0
"19","US10furn004",2011-07-19,329703,"0030",2011-07-19,"0315","WISCONSIN",55,"Heavy Rain",119,"TAYLOR","ARX","",NA,"",45.1,-90.69,45.1,-90.69,0,3,"USD","BEAVER CITY 6.0 S",40.0502,-99.8189,1.72686293019609,"KMDZ","MEDFORD",45.1,-90.3,"WI",30.6451032034987,0
"20","US10furn008",2011-04-23,296534,"0135",2011-04-23,"0135","MISSOURI",29,"Heavy Rain",17,"BOLLINGER","PAH","",NA,"",37.3,-89.98,37.3,-89.98,0,3,"USD","BEAVER CITY 4.7 SW",40.0887,-99.892,2.38080564291721,"KCGI","CAPE GIRARDEAU",37.23,-89.58,"MO",36.283753809929,0
"21","US10furn008",2011-07-19,329637,"0045",2011-07-19,"0203","WISCONSIN",55,"Heavy Rain",19,"CLARK","ARX","",NA,"",44.95,-90.32,44.95,-90.32,0,3,"USD","BEAVER CITY 4.7 SW",40.0887,-99.892,2.38080564291721,"KMDZ","MEDFORD",45.1,-90.3,"WI",16.7719077775202,0
"22","US10furn014",2011-07-06,331502,"2000",2011-07-06,"2100","CALIFORNIA",6,"Heavy Rain",73,"SAN DIEGO","SGX","",NA,"",32.9384,-116.5684,32.9384,-116.5684,0,3,"USD","BEAVER CITY 0.4 SE",40.133,-99.8238,1.96240612879816,"KRNM","RAMONA",33.04,-116.92,"CA",34.723100250377,5
"23","US10furn018",2011-07-05,331500,"2000",2011-07-05,"2230","CALIFORNIA",6,"Heavy Rain",71,"SAN BERNARDINO","SGX","",NA,"",34.4896,-117.1901,34.4896,-117.1901,0,3,"USD","OXFORD 0.2 WNW",40.2499,-99.6375,0.636604427543515,"KVCV","VICTORVILLE",34.6,-117.38,"CA",21.3125348800525,0
"24","US10gosp002",2011-02-24,276052,"1300",2011-02-24,"0253","KENTUCKY",21,"Heavy Rain",65,"ESTILL","JKL","",NA,"",37.7,-83.97,37.7,-83.97,0,3,"USD","ARAPAHOE 9.8 NNE",40.4379,-99.8351,0.978761971544626,"KJKL","JACKSON",37.6,-83.32,"KY",58.3610538716788,0
"25","US10gosp004",2011-01-01,272733,"1045",2011-01-01,"1200","MISSISSIPPI",28,"Heavy Rain",61,"JASPER","JAN","",NA,"",31.87,-89.26,31.87,-89.26,0,3,"USD","ARAPAHOE 6.9 NW",40.3873,-99.973,1.62485955494206,"KPIB","LAUREL-HATIESBURG",31.47,-89.33,"MS",45.0189663310548,0
"26","US10gree007",2011-06-19,315082,"1015",2011-06-19,"1058","ILLINOIS",17,"Heavy Rain",127,"MASSAC","PAH","",NA,"",37.15,-88.73,37.15,-88.73,0,3,"USD","SPALDING 0.2 SW",41.6869,-98.3657,1.14773886998962,"KM30","METROPOLIS MUNI ARP",37.19,-88.75,"IL",4.7931872222039,0
"27","US10gree011",2011-05-25,313673,"1200",2011-05-25,"1200","NEBRASKA",31,"Heavy Rain",65,"FURNAS","GID","",NA,"",40.1091,-99.8835,40.1091,-99.8835,0,3,"USD","SPALDING 7.5 SSW",41.581,-98.3857,3.32189565152677,"KHDE","BREWSTER FIELD",40.45,-99.33,"NE",60.4125474421886,5
"28","US10gree012",2011-09-04,331041,"1945",2011-09-04,"2145","KENTUCKY",21,"Heavy Rain",209,"SCOTT","LMK","",NA,"",38.28,-84.46,38.28,-84.46,0,3,"USD","WOLBACH 5.0 NW",41.4611,-98.4383,2.72409470430417,"KLEX","LEXINGTON",38.03,-84.6,"KY",30.4086249057183,0
"29","US10harl004",2011-07-12,338355,"1800",2011-07-12,"1900","LOUISIANA",22,"Heavy Rain",51,"JEFFERSON","LIX","",NA,"",29.9,-90.08,29.9,-90.08,0,3,"USD","ORLEANS 6.2 WNW",40.1765,-99.5579,1.49927969526347,"KNBG","NEW ORLEANS NAS",29.83,-90.02,"LA",9.70929028563824,0
"30","US10harl008",2011-07-24,330960,"1300",2011-07-25,"1300","NEBRASKA",31,"Heavy Rain",1,"ADAMS","GID","",NA,"",40.5493,-98.4204,40.5493,-98.4204,0,3,"USD","ALMA 0.1 NNW",40.0983,-99.3626,1.088254417978,"KHSI","HASTINGS",40.6,-98.43,"NE",5.70197064707051,0
"31","US10harl009",2011-09-24,342885,"0200",2011-09-25,"2200","MISSOURI",29,"Heavy Rain",31,"CAPE GIRARDEAU","PAH","",NA,"",37.3,-89.53,37.3,-89.53,0,3,"USD","REPUBLICAN CITY 1.7 NW",40.1176,-99.2433,0.0479817304490635,"KCGI","CAPE GIRARDEAU",37.23,-89.58,"MO",8.96340824637674,0
"32","US10harl014",2011-07-22,326735,"2030",2011-07-22,"2130","KENTUCKY",21,"Heavy Rain",71,"FLOYD","JKL","",NA,"",37.67,-82.9,37.67,-82.9,0,3,"USD","ORLEANS 0.2 E",40.129,-99.4512,0.150906722150659,"KJKL","JACKSON",37.6,-83.32,"KY",37.8364934611057,3
"33","US10haye003",2011-04-12,304670,"1530",2011-04-12,"1530","KENTUCKY",21,"Heavy Rain",163,"MEADE","LMK","",NA,"",38.07,-86.3,38.07,-86.3,0,3,"USD","HAYES CENTER 0.0 WSW",40.5106,-101.0202,3.39917491923651,"KFTK","FORT KNOX",37.9,-85.97,"KY",34.5897616053981,0
