"","EVENTS.begin_date","EVENTS.begin_time_UTC","EVENTS.end_date","EVENTS.end_time_UTC","EVENTS.ID","EVENTS.state","EVENTS.fips","EVENTS.type","EVENTS.czfips","EVENTS.czname","EVENTS.WFO","EVENTS.flood_cause","EVENTS.hurricane_category","EVENTS.tornado_F_scale","EVENTS.begin_lat","EVENTS.begin_lon","EVENTS.end_lat","EVENTS.end_lon","EVENTS.damage_value","EVENTS.damage_magnitude","EVENTS.damage_unit","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","GHCND.prcp_cat","NA","NA","MOS.ICAO","MOS.name","MOS.lat","MOS.lon","MOS.st","MOS.dist_from_event.km"
"1",NA,2015-06-11,NA,"1300",2015-06-12,"1300","IOWA",19,"Heavy Rain",15,"BOONE","DMX","",NA,"",42.05,-93.88,42.05,-93.88,0,3,"USD","JUNIATA 4.8 NNE",40.6567,-98.4789,0.835622835102606,"KBNW","BOONE_MUNI",42.05,-93.85,"IA",2.47984407688828,5,"  0","  1",0,0,0,0,0,0
"2",NA,2015-02-21,NA,"1529",2015-02-21,"1830","MISSOURI",29,"Heavy Rain",201,"SCOTT","PAH","",NA,"",36.88,-89.58,37.08,-89.62,0,3,"USD","LAWRENCE 0.1 W",40.2922,-98.2614,1.13323266562371,"KCIR","CAIRO",37,-89.17,"IL",38.8481437947776,0,"  1","  2",0,0,0,0,0,0
"3",NA,2015-06-25,NA,"2330",2015-06-25,"0130","KANSAS",20,"Heavy Rain",145,"PAWNEE","DDC","",NA,"",38.34,-99.07,38.34,-99.07,0,3,"USD","CARLETON 2.2 E",40.3056,-97.637,0.748603445273303,"KGBD","GREAT BEND",38.35,-98.87,"KS",17.4967830714609,0,"  0","  0",0,0,0,0,0,0
"4",NA,2015-04-03,NA,"1815",2015-04-03,"1815","INDIANA",18,"Heavy Rain",163,"VANDERBURGH","PAH","",NA,"",37.9728,-87.528,37.9728,-87.528,0,3,"USD","HEBRON 6.6 ESE",40.1034,-97.4907,3.44192475479218,"KEVV","EVANSVILLE",38.05,-87.53,"IN",8.59565474982514,1,"  3","  4",0,0,0,0,0,0
"5",NA,2015-06-24,NA,"1200",2015-06-25,"1200","IOWA",19,"Heavy Rain",157,"POWESHIEK","DMX","",NA,"",41.72,-92.75,41.72,-92.75,0,3,"USD","HEBRON 0.6 ENE",40.171,-97.5764,0.325465863571832,"KTNU","NEWTON_MUNI",41.68,-93.02,"IA",22.8786389948434,5,"  0","  4",0,0,0,0,0,0
"6",NA,2015-06-25,NA,"2330",2015-06-25,"0130","KANSAS",20,"Heavy Rain",145,"PAWNEE","DDC","",NA,"",38.34,-99.11,38.34,-99.11,0,3,"USD","BYRON 0.2 ESE",40.0027,-97.7648,0.535090228059434,"KGBD","GREAT BEND",38.35,-98.87,"KS",20.9831493567425,0,"  0","  0",0,0,0,0,0,0
"7",NA,2015-04-24,NA,"1400",2015-04-25,"1355","CALIFORNIA",6,"Heavy Rain",17,"EL DORADO","STO","",NA,"",38.74,-120.67,38.74,-120.67,0,3,"USD","BENEDICT 3.5 W",41.0186,-97.672,2.42546385456178,"KAUN","AUBURN MUNI AP",38.95,-121.08,"CA",42.545171855786,0,"  0","  1",0,0,0,0,0,0
"8",NA,2015-12-13,NA,"1200",2015-12-15,"1200","MICHIGAN",26,"Heavy Rain",95,"LUCE","MQT","",NA,"",46.35,-85.5,46.35,-85.5,0,3,"USD","VINEMONT 4.0 NW",34.2835,-86.9144,0,"KERY","NEWBERRY",46.31,-85.46,"MI",5.41117230045477,0,"  0","  2",0,0,0,0,0,0
"9",NA,2015-09-07,NA,"0630",2015-09-07,"1220","IOWA",19,"Heavy Rain",7,"APPANOOSE","DMX","",NA,"",40.82,-93.08,40.82,-93.08,0,3,"USD","PHOENIX 3.8 NNW",33.5039,-112.0882,2.27084819682396,"KCNC","CHARITON",41.03,-93.37,"IA",33.7852371438613,0,"  0","  0",0,0,0,0,0,0
"10",NA,2015-08-06,NA,"0615",2015-08-06,"1330","ILLINOIS",17,"Heavy Rain",47,"EDWARDS","PAH","",NA,"",38.5225,-88.0568,38.5225,-88.0568,0,3,"USD","TAYLOR 3.2 WNW",34.4727,-110.1435,2.10181884208066,"KOLY","OLNEY-NOBLE AIRPORT",38.72,-88.18,"IL",24.4576825720751,0,"  0","  1",0,0,0,0,0,0
"11",NA,2015-06-20,NA,"1749",2015-06-20,"1949","OHIO",39,"Heavy Rain",21,"CHAMPAIGN","ILN","",NA,"",40.0232,-83.7403,40.0232,-83.7403,0,3,"USD","CASA GRANDE 6.5 NNW",32.9603,-111.7841,24.6322877240423,"KFFO","WRIGHT-PATTERSON",39.83,-84.05,"OH",34.0811661031846,0,"  0","  1",0,0,0,0,0,0
"12",NA,2015-06-24,NA,"1200",2015-06-25,"1200","IOWA",19,"Heavy Rain",49,"DALLAS","DMX","",NA,"",41.84,-94.13,41.84,-94.13,0,3,"USD","CAMINO 2.0 WSW",38.7338,-120.711,3.62234892542279,"KBNW","BOONE_MUNI",42.05,-93.85,"IA",32.9235086040113,0,"  0","  4",0,0,0,0,0,0
"13",NA,2015-12-12,NA,"1300",2015-12-14,"1300","IOWA",19,"Heavy Rain",187,"WEBSTER","DMX","",NA,"",42.58,-94.2,42.58,-94.2,0,3,"USD","CAMINO 2.0 WSW",38.7338,-120.711,3.96420434142734,"KFOD","FT DODGE",42.55,-94.18,"IA",3.72043499148446,1,"  0","  0",0,0,0,0,0,0
"14",NA,2015-05-06,NA,"1200",2015-05-07,"1200","NEBRASKA",31,"Heavy Rain",169,"THAYER","GID","",NA,"",40.2586,-97.7195,40.2586,-97.7195,0,3,"USD","COARSEGOLD 0.8 WSW",37.258,-119.7138,1.80882941689521,"KHJH","HEBRON MUNI ARPT",40.15,-97.59,"NE",16.3515448504146,0,"  4","  4",0,0,0,0,0,0
"15",NA,2015-05-29,NA,"2240",2015-05-29,"2320","WASHINGTON",53,"Heavy Rain",47,"OKANOGAN","OTX","",NA,"",48.4916,-119.628,48.4916,-119.628,0,3,"USD","BOLINAS 0.2 W",37.9059,-122.7009,34.9192105512627,"KOMK","OMAK",48.46,-119.52,"WA",8.7119195088999,0,"  1","  1",0,0,0,0,0,0
"16",NA,2015-12-17,NA,"0100",2015-12-18,"2200","OREGON",41,"Heavy Rain",41,"LINCOLN","PQR","",NA,"",44.9011,-124.02,43.8989,-124.0386,1240,3,"USD","QUINCY 2.3 E",39.9384,-120.905,2.08993524879713,"KONP","NEWPORT",44.58,-124.05,"OR",35.8233110218251,0,"  2","  3",0,0,0,0,0,0
"17",NA,2015-12-27,NA,"1645",2015-12-27,"1945","KENTUCKY",21,"Heavy Rain",15,"BOONE","ILN","",NA,"",38.9699,-84.6611,38.9699,-84.6611,0,3,"USD","CAZADERO 5.6 W",38.5319,-123.1886,7.74043659691214,"KCVG","COVINGTON",39.05,-84.67,"KY",8.94986266222418,0,"  4","  4",0,0,0,0,0,0
"18",NA,2015-12-12,NA,"1300",2015-12-13,"1300","IOWA",19,"Heavy Rain",17,"BREMER","DMX","",NA,"",42.64,-92.46,42.64,-92.46,0,3,"USD","TWAIN HARTE 1.6 SW",38.0239,-120.2533,4.27224686868829,"KALO","WATERLOO",42.55,-92.4,"IA",11.1602615147088,4,"  0","  0",0,0,0,0,0,0
"19",NA,2015-06-06,NA,"2300",2015-06-06,"0100","UTAH",49,"Heavy Rain",37,"SAN JUAN","GJT","",NA,"",38.2112,-109.8344,38.1805,-109.7939,0,3,"USD","HOTCHKISS 7.1 WNW",38.8578,-107.8283,4.92944869467746,"KCNY","MOAB",38.77,-109.75,"UT",62.6384954114975,2,"  2","  0",0,0,0,0,0,0
"20",NA,2015-07-13,NA,"0115",2015-07-13,"0315","WISCONSIN",55,"Heavy Rain",9,"BROWN","GRB","",NA,"",44.5116,-88.0165,44.5116,-88.0165,0,3,"USD","DURANGO 12.9 S",37.0999,-107.8594,6.26230790668444,"KGRB","GREEN BAY",44.48,-88.13,"WI",9.6745800135531,1,"  1","  4",0,0,0,0,0,0
