State Name,County Name,County FIPS,Year,Month,CropIndemnityPayment,CropIndemnityPayment(ADJ),CropIndemnityPaymentPerCapita,Records
ARIZONA,Cochise,'04003',2010,2,278838.00000,274338.10000,2.08040,4
ARIZONA,Cochise,'04003',2012,8,4262.50000,3982.96000,0.03019,1
ARIZONA,Cochise,'04003',2012,9,33510.00000,31312.38000,0.23736,1
ARIZONA,Cochise,'04003',2013,7,144494.00000,133068.81000,1.02563,2
ARIZONA,Cochise,'04003',2016,8,43786.00000,38440.04000,0.30564,2
ARIZONA,Graham,'04009',2010,2,124891.00000,122875.50000,3.30853,1
ARIZONA,Graham,'04009',2013,6,9127.00000,8405.32000,0.22453,1
ARIZONA,Graham,'04009',2015,1,5553.00000,5026.32000,0.13344,1
ARIZONA,Graham,'04009',2015,4,63804.50000,57752.93000,1.53329,2
ARIZONA,Graham,'04009',2015,7,63804.50000,57752.93000,1.53329,2
ARIZONA,Graham,'04009',2015,10,10702.80000,9687.69000,0.25720,1
ARIZONA,Graham,'04009',2016,8,21970.21000,19287.80000,0.51299,2
ARIZONA,Graham,'04009',2016,10,44874.29000,39395.46000,1.04778,2
ARIZONA,Maricopa,'04013',2010,5,91726.20000,90245.92000,0.02360,1
ARIZONA,Maricopa,'04013',2010,6,1042787.00000,1025958.44000,0.26832,2
ARIZONA,Maricopa,'04013',2012,9,195737.23000,182900.59000,0.04639,1
ARIZONA,Maricopa,'04013',2013,8,10985.10000,10116.50000,0.00252,1
ARIZONA,Maricopa,'04013',2013,11,25631.90000,23605.18000,0.00588,1
ARIZONA,Maricopa,'04013',2014,7,30167.49000,27338.65000,0.00669,1
ARIZONA,Maricopa,'04013',2014,10,4878.20000,4420.77000,0.00108,1
ARIZONA,Maricopa,'04013',2014,11,4563.80000,4135.85000,0.00101,1
ARIZONA,Pima,'04019',2014,9,3823.20000,3464.69000,0.00345,1
ARIZONA,Pima,'04019',2015,1,18674.00000,16902.85000,0.01674,1
ARIZONA,Pinal,'04021',2010,1,69682.00000,68557.47000,0.17773,1
ARIZONA,Pinal,'04021',2010,2,128397.00000,126324.92000,0.32749,3
ARIZONA,Pinal,'04021',2010,8,11835.90000,11644.89000,0.03019,1
ARIZONA,Pinal,'04021',2013,11,9267.20000,8534.44000,0.02183,1
ARIZONA,Pinal,'04021',2014,7,55683.06000,50461.60000,0.12555,2
ARIZONA,Pinal,'04021',2014,9,93280.40000,84533.39000,0.21032,3
ARIZONA,Pinal,'04021',2015,6,1239.80000,1122.21000,0.00276,1
ARIZONA,Pinal,'04021',2015,10,58555.25000,53001.55000,0.13036,1
ARIZONA,Pinal,'04021',2016,5,12326.00000,10821.08000,0.02585,2
ARIZONA,Yuma,'04027',2012,9,96872.60000,90519.60000,0.44753,1
ARIZONA,Yuma,'04027',2013,9,14242.80000,13116.62000,0.06492,1
ARIZONA,Yuma,'04027',2013,11,9495.20000,8744.41000,0.04328,1
ARIZONA,Yuma,'04027',2016,4,55885.50000,49062.28000,0.23859,1
ARKANSAS,Arkansas,'05001',2010,5,8830.00000,8687.50000,0.45702,2
ARKANSAS,Arkansas,'05001',2010,6,3840.00000,3778.03000,0.19875,1
ARKANSAS,Arkansas,'05001',2010,11,32508.00000,31983.39000,1.68254,2
ARKANSAS,Arkansas,'05001',2010,12,9722.00000,9565.11000,0.50319,1
ARKANSAS,Arkansas,'05001',2011,2,6058.00000,5777.86000,0.30592,1
ARKANSAS,Arkansas,'05001',2011,4,98486.60000,93932.22000,4.97338,7
ARKANSAS,Arkansas,'05001',2011,5,128825.00000,122867.66000,6.50541,6
ARKANSAS,Arkansas,'05001',2011,6,42444.00000,40481.24000,2.14334,2
ARKANSAS,Arkansas,'05001',2011,7,12527.00000,11947.71000,0.63259,3
ARKANSAS,Arkansas,'05001',2011,10,30910.00000,29480.61000,1.56089,1
ARKANSAS,Arkansas,'05001',2012,3,1600.40000,1495.44000,0.07873,1
ARKANSAS,Arkansas,'05001',2012,4,30481.00000,28482.03000,1.49953,1
ARKANSAS,Arkansas,'05001',2012,5,20538.00000,19191.10000,1.01038,3
ARKANSAS,Arkansas,'05001',2012,6,915.00000,854.99000,0.04501,1
ARKANSAS,Arkansas,'05001',2012,7,20869.00000,19500.39000,1.02666,1
ARKANSAS,Arkansas,'05001',2012,11,20289.00000,18958.43000,0.99813,1
ARKANSAS,Arkansas,'05001',2012,12,44860.00000,41918.04000,2.20691,3
ARKANSAS,Arkansas,'05001',2013,3,21571.00000,19865.37000,1.05555,2
ARKANSAS,Arkansas,'05001',2013,4,347475.00000,320000.01000,17.00319,7
ARKANSAS,Arkansas,'05001',2013,5,138826.00000,127848.98000,6.79325,6
ARKANSAS,Arkansas,'05001',2013,6,54585.75000,50269.63000,2.67107,4
ARKANSAS,Arkansas,'05001',2013,7,62157.00000,57242.22000,3.04156,1
ARKANSAS,Arkansas,'05001',2013,8,3422.00000,3151.42000,0.16745,1
ARKANSAS,Arkansas,'05001',2013,10,22564.00000,20779.86000,1.10414,1
ARKANSAS,Arkansas,'05001',2014,5,50981.00000,46200.46000,2.48470,7
