State Name,County Name,County FIPS,Year,Month,CropIndemnityPayment,CropIndemnityPayment(ADJ),CropIndemnityPaymentPerCapita,Records
OHIO,Adams,'39001',2010,1,2018.00000,1985.43000,0.06950,1
OHIO,Adams,'39001',2010,3,1699.50000,1672.07000,0.05853,1
OHIO,Adams,'39001',2010,4,3522.00000,3465.17000,0.12130,3
OHIO,Adams,'39001',2010,5,25159.20000,24753.18000,0.86647,9
OHIO,Adams,'39001',2010,6,190364.60000,187292.50000,6.55602,10
OHIO,Adams,'39001',2010,7,23751.40000,23368.11000,0.81798,3
OHIO,Adams,'39001',2010,8,60751.20000,59770.80000,2.09223,4
OHIO,Adams,'39001',2010,9,4100.00000,4033.83000,0.14120,1
OHIO,Adams,'39001',2010,10,42354.00000,41670.49000,1.45864,4
OHIO,Adams,'39001',2010,11,1699.50000,1672.07000,0.05853,1
OHIO,Adams,'39001',2011,3,43062.00000,41070.66000,1.43991,2
OHIO,Adams,'39001',2011,4,26916.00000,25671.31000,0.90002,3
OHIO,Adams,'39001',2011,5,144904.00000,138203.10000,4.84532,7
OHIO,Adams,'39001',2011,6,130904.00000,124850.52000,4.37719,8
OHIO,Adams,'39001',2011,7,39124.00000,37314.77000,1.30823,4
OHIO,Adams,'39001',2011,8,2131.00000,2032.46000,0.07126,2
OHIO,Adams,'39001',2011,9,6704.00000,6393.98000,0.22417,1
OHIO,Adams,'39001',2011,10,8882.50000,8471.74000,0.29701,1
OHIO,Adams,'39001',2011,11,18713.00000,17847.64000,0.62573,1
OHIO,Adams,'39001',2012,2,11717.00000,10948.59000,0.38598,1
OHIO,Adams,'39001',2012,4,1936.00000,1809.04000,0.06377,1
OHIO,Adams,'39001',2012,5,24554.00000,22943.72000,0.80885,3
OHIO,Adams,'39001',2012,6,866.00000,809.21000,0.02853,1
OHIO,Adams,'39001',2012,10,38079.00000,35581.75000,1.25438,3
OHIO,Adams,'39001',2013,5,64677.50000,59563.42000,2.11774,5
OHIO,Adams,'39001',2013,6,44230.20000,40732.91000,1.44823,10
OHIO,Adams,'39001',2013,7,154960.00000,142707.26000,5.07386,5
OHIO,Adams,'39001',2013,9,8783.00000,8088.52000,0.28758,1
OHIO,Adams,'39001',2013,10,9533.20000,8779.41000,0.31215,3
OHIO,Adams,'39001',2013,12,14167.00000,13046.81000,0.46387,1
OHIO,Adams,'39001',2014,1,5948.00000,5390.25000,0.19163,1
OHIO,Adams,'39001',2014,2,753.75000,683.07000,0.02428,1
OHIO,Adams,'39001',2014,4,6356.00000,5759.99000,0.20477,1
OHIO,Adams,'39001',2014,5,12853.00000,11647.76000,0.41408,2
OHIO,Adams,'39001',2014,6,47605.50000,43141.48000,1.53370,5
OHIO,Adams,'39001',2014,7,7762.00000,7034.15000,0.25007,3
OHIO,Adams,'39001',2014,8,2734.50000,2478.08000,0.08810,1
OHIO,Adams,'39001',2014,10,9586.60000,8687.65000,0.30885,2
OHIO,Adams,'39001',2014,11,61735.25000,55946.27000,1.98892,2
OHIO,Adams,'39001',2014,12,5368.75000,4865.32000,0.17296,1
OHIO,Adams,'39001',2015,3,1520.00000,1375.83000,0.04909,2
OHIO,Adams,'39001',2015,5,400.00000,362.06000,0.01292,1
OHIO,Adams,'39001',2015,6,215873.30000,195398.70000,6.97255,13
OHIO,Adams,'39001',2015,7,201310.48000,182217.09000,6.50218,12
OHIO,Adams,'39001',2015,9,9413.00000,8520.22000,0.30403,1
OHIO,Adams,'39001',2015,10,2662.00000,2409.52000,0.08598,2
OHIO,Adams,'39001',2016,4,3602.94000,3163.05000,0.11334,1
OHIO,Adams,'39001',2016,5,9876.06000,8670.26000,0.31068,4
OHIO,Adams,'39001',2016,6,47547.31000,41742.12000,1.49576,9
OHIO,Adams,'39001',2016,7,91759.89000,80556.67000,2.88661,6
OHIO,Adams,'39001',2016,8,40911.75000,35916.72000,1.28701,3
OHIO,Adams,'39001',2016,11,3822.00000,3355.36000,0.12023,1
OHIO,Allen,'39003',2010,4,4183.00000,4115.49000,0.03869,1
OHIO,Allen,'39003',2010,5,207742.00000,204389.45000,1.92160,10
OHIO,Allen,'39003',2010,6,129156.80000,127072.46000,1.19469,10
OHIO,Allen,'39003',2010,7,25252.00000,24844.48000,0.23358,1
OHIO,Allen,'39003',2010,10,11173.00000,10992.69000,0.10335,3
OHIO,Allen,'39003',2011,2,923.00000,880.32000,0.00831,1
OHIO,Allen,'39003',2011,4,24032.00000,22920.67000,0.21642,3
OHIO,Allen,'39003',2011,5,435200.41000,415075.15000,3.91924,10
OHIO,Allen,'39003',2011,6,359617.80000,342987.76000,3.23857,6
OHIO,Allen,'39003',2011,7,33239.50000,31702.38000,0.29934,1
OHIO,Allen,'39003',2011,8,404.50000,385.79000,0.00364,1
OHIO,Allen,'39003',2011,12,2490.00000,2374.85000,0.02242,3
OHIO,Allen,'39003',2012,1,37374.00000,34922.98000,0.33171,1
OHIO,Allen,'39003',2012,3,35338.00000,33020.50000,0.31364,1
