wfo,year,region,freq
ABQ,2011,Southern,249
ABQ,2012,Southern,392
ABQ,2013,Southern,323
ABQ,2014,Southern,289
ABQ,2015,Southern,154
ABQ,2016,Southern,131
ABR,2011,Central,550
ABR,2012,Central,385
ABR,2013,Central,618
ABR,2014,Central,780
ABR,2015,Central,840
ABR,2016,Central,766
AKQ,2011,Eastern,68
AKQ,2012,Eastern,113
AKQ,2013,Eastern,165
AKQ,2014,Eastern,117
AKQ,2015,Eastern,173
AKQ,2016,Eastern,582
ALY,2011,Eastern,68
ALY,2012,Eastern,113
ALY,2013,Eastern,165
ALY,2014,Eastern,117
ALY,2015,Eastern,173
ALY,2016,Eastern,582
AMA,2011,Southern,249
AMA,2012,Southern,392
AMA,2013,Southern,323
AMA,2014,Southern,289
AMA,2015,Southern,154
AMA,2016,Southern,131
APX,2011,Central,550
APX,2012,Central,385
APX,2013,Central,618
APX,2014,Central,780
APX,2015,Central,840
APX,2016,Central,766
ARX,2011,Central,550
ARX,2012,Central,385
ARX,2013,Central,618
ARX,2014,Central,780
ARX,2015,Central,840
ARX,2016,Central,766
BGM,2011,Eastern,68
BGM,2012,Eastern,113
BGM,2013,Eastern,165
BGM,2014,Eastern,117
BGM,2015,Eastern,173
BGM,2016,Eastern,582
BIS,2011,Central,550
BIS,2012,Central,385
BIS,2013,Central,618
BIS,2014,Central,780
BIS,2015,Central,840
BIS,2016,Central,766
BMX,2011,Southern,249
BMX,2012,Southern,392
BMX,2013,Southern,323
BMX,2014,Southern,289
BMX,2015,Southern,154
BMX,2016,Southern,131
BOI,2011,Western,99
BOI,2012,Western,125
BOI,2013,Western,98
BOI,2014,Western,239
BOI,2015,Western,191
BOI,2016,Western,197
BOU,2011,Central,550
BOU,2012,Central,385
BOU,2013,Central,618
BOU,2014,Central,780
BOU,2015,Central,840
BOU,2016,Central,766
BOX,2011,Eastern,68
BOX,2012,Eastern,113
BOX,2013,Eastern,165
BOX,2014,Eastern,117
BOX,2015,Eastern,173
BOX,2016,Eastern,582
BRO,2011,Southern,249
BRO,2012,Southern,392
BRO,2013,Southern,323
BRO,2014,Southern,289
BRO,2015,Southern,154
BRO,2016,Southern,131
BTV,2011,Eastern,68
BTV,2012,Eastern,113
BTV,2013,Eastern,165
BTV,2014,Eastern,117
BTV,2015,Eastern,173
BTV,2016,Eastern,582
BUF,2011,Eastern,68
BUF,2012,Eastern,113
BUF,2013,Eastern,165
BUF,2014,Eastern,117
BUF,2015,Eastern,173
BUF,2016,Eastern,582
BYZ ,2011,Western,99
BYZ ,2012,Western,125
BYZ ,2013,Western,98
BYZ ,2014,Western,239
BYZ ,2015,Western,191
BYZ ,2016,Western,197
CAE,2011,Eastern,68
CAE,2012,Eastern,113
CAE,2013,Eastern,165
CAE,2014,Eastern,117
CAE,2015,Eastern,173
CAE,2016,Eastern,582
CAR,2011,Eastern,68
CAR,2012,Eastern,113
CAR,2013,Eastern,165
CAR,2014,Eastern,117
CAR,2015,Eastern,173
CAR,2016,Eastern,582
CHS,2011,Eastern,68
CHS,2012,Eastern,113
CHS,2013,Eastern,165
CHS,2014,Eastern,117
CHS,2015,Eastern,173
CHS,2016,Eastern,582
CLE,2011,Eastern,68
CLE,2012,Eastern,113
CLE,2013,Eastern,165
CLE,2014,Eastern,117
CLE,2015,Eastern,173
CLE,2016,Eastern,582
CRP,2011,Southern,249
CRP,2012,Southern,392
CRP,2013,Southern,323
CRP,2014,Southern,289
CRP,2015,Southern,154
CRP,2016,Southern,131
CTP,2011,Eastern,68
CTP,2012,Eastern,113
CTP,2013,Eastern,165
CTP,2014,Eastern,117
CTP,2015,Eastern,173
CTP,2016,Eastern,582
CYS,2011,Central,550
CYS,2012,Central,385
CYS,2013,Central,618
CYS,2014,Central,780
CYS,2015,Central,840
CYS,2016,Central,766
DDC,2011,Central,550
DDC,2012,Central,385
DDC,2013,Central,618
DDC,2014,Central,780
DDC,2015,Central,840
DDC,2016,Central,766
DLH,2011,Central,550
DLH,2012,Central,385
