"fcc.county.FIPS","EVENTS.begin_date","EVENTS.begin_time_UTC","EVENTS.end_date","EVENTS.end_time_UTC","EVENTS.ID","EVENTS.state","EVENTS.fips","EVENTS.type","EVENTS.czfips","EVENTS.czname","EVENTS.wfo","EVENTS.begin_lat","EVENTS.begin_lon","EVENTS.end_lat","EVENTS.end_lon","EVENTS.damage_value","EVENTS.damage_magnitude","EVENTS.damage_unit","census.block","fcc.county.name","state.FIPS","state.code","state.name","series.id","county","state"
"04001","2011-08-21",1740,"2011-08-21",1820,343488,"arizona",4,"Heavy Rain",1,"apache","FGZ",34.01,-109.46,34.0006,-109.4259,0,3,"USD",40019705021677,"apache",4,"az","arizona","LAUCN040010000000003","apache","az"
"04001","2010-08-02",0,"2010-08-02",300,258280,"arizona",4,"Heavy Rain",17,"navajo","FGZ",34.4727,-109.6491,34.4888,-109.555,0,3,"USD",40019702001534,"apache",4,"az","arizona","LAUCN040010000000003","apache","az"
"04001","2011-08-24",2100,"2011-08-24",2145,343594,"arizona",4,"Heavy Rain",1,"apache","FGZ",33.85,-109.14,33.7729,-109.1986,0,3,"USD",40019705021496,"apache",4,"az","arizona","LAUCN040010000000003","apache","az"
"04001","2014-08-14",2300,"2014-08-14",20,541985,"arizona",4,"Heavy Rain",1,"apache","FGZ",34.32,-109.83,34.4436,-109.4513,0,3,"USD",40019702001756,"apache",4,"az","arizona","LAUCN040010000000003","apache","az"
"04001","2016-08-02",2130,"2016-08-02",330,658402,"arizona",4,"Heavy Rain",1,"apache","FGZ",35.18,-109.45,35.3164,-109.3236,0,3,"USD",40019451002188,"apache",4,"az","arizona","LAUCN040010000000003","apache","az"
"04001","2011-07-09",1850,"2011-07-09",1920,333019,"arizona",4,"Heavy Rain",1,"apache","FGZ",33.95,-109.24,33.9803,-109.1107,10,3,"USD",40019705021416,"apache",4,"az","arizona","LAUCN040010000000003","apache","az"
"04001","2013-07-04",100,"2013-07-04",200,471701,"arizona",4,"Heavy Rain",1,"apache","FGZ",33.9567,-109.4529,34.1,-109.4548,0,3,"USD",40019705021331,"apache",4,"az","arizona","LAUCN040010000000003","apache","az"
"04001","2014-08-14",2300,"2014-08-14",145,541987,"arizona",4,"Heavy Rain",1,"apache","FGZ",34.34,-109.74,34.4572,-109.4623,0,3,"USD",40019702001817,"apache",4,"az","arizona","LAUCN040010000000003","apache","az"
"04001","2015-07-12",2145,"2015-07-12",2245,596689,"arizona",4,"Heavy Rain",1,"apache","FGZ",34.47,-109.6,34.5089,-110.0761,0,3,"USD",40019702002409,"apache",4,"az","arizona","LAUCN040010000000003","apache","az"
"04001","2014-08-04",2000,"2014-08-04",2230,539423,"arizona",4,"Heavy Rain",1,"apache","FGZ",34.5434,-109.37,34.4566,-109.37,0,3,"USD",40019702002164,"apache",4,"az","arizona","LAUCN040010000000003","apache","az"
