CBSA.code,CBSA.title,CBSA.pop,CBSA.land_area,CBSA.pop_den,CBSA.category
10180,"Abilene, TX",165252,2743.5,60.2,MSA
10420,"Akron, OH",703200,900.1,781.2,MSA
10500,"Albany, GA",157308,1932.6,81.4,MSA
10580,"Albany-Schenectady-Troy, NY",870716,2811.6,309.7,MSA
10740,"Albuquerque, NM",887077,9282.5,95.6,MSA
10780,"Alexandria, LA",153922,1961,78.5,MSA
10900,"Allentown-Bethlehem-Easton, PA-NJ",821173,1453.2,565.1,MSA
11020,"Altoona, PA",127089,525.8,241.7,MSA
11100,"Amarillo, TX",249881,3649.2,68.5,MSA
11180,"Ames, IA",89542,572.8,156.3,MSA
11260,"Anchorage, AK",380821,26312.6,14.5,MSA
11300,"Anderson, IN",131636,451.9,291.3,MSA
11340,"Anderson, SC",187126,715.4,261.6,MSA
11460,"Ann Arbor, MI",344791,706,488.4,MSA
11500,"Anniston-Oxford, AL",118572,605.9,195.7,MSA
11540,"Appleton, WI",225666,955.8,236.1,MSA
11700,"Asheville, NC",424858,2033,209,MSA
12020,"Athens-Clarke County, GA",192541,1024.8,187.9,MSA
12060,"Atlanta-Sandy Springs-Marietta, GA",5268860,8338.5,631.9,MSA
12100,"Atlantic City-Hammonton, NJ",274549,555.7,494.1,MSA
12220,"Auburn-Opelika, AL",140247,607.5,230.8,MSA
12260,"Augusta-Richmond County, GA-SC",556877,3270.3,170.3,MSA
12420,"Austin-Round Rock-San Marcos, TX",1716289,4219.9,406.7,MSA
12540,"Bakersfield-Delano, CA",839631,8131.9,103.3,MSA
12580,"Baltimore-Towson, MD",2710489,2601.5,1041.9,MSA
12620,"Bangor, ME",153923,3397.4,45.3,MSA
12700,"Barnstable Town, MA",215888,393.7,548.3,MSA
12940,"Baton Rouge, LA",802484,4026.9,199.3,MSA
12980,"Battle Creek, MI",136146,706.2,192.8,MSA
13020,"Bay City, MI",107771,442.3,243.7,MSA
13140,"Beaumont-Port Arthur, TX",388745,2100.5,185.1,MSA
13380,"Bellingham, WA",201140,2106.9,95.5,MSA
13460,"Bend, OR",157733,3018.2,52.3,MSA
13740,"Billings, MT",158050,4682.1,33.8,MSA
13780,"Binghamton, NY",251725,1224.4,205.6,MSA
13820,"Birmingham-Hoover, AL",1128047,5279.5,213.7,MSA
13900,"Bismarck, ND",108779,3558.9,30.6,MSA
13980,"Blacksburg-Christiansburg-Radford, VA",162958,1072.5,151.9,MSA
14020,"Bloomington, IN",192714,1322.3,145.7,MSA
14060,"Bloomington-Normal, IL",169572,1183.4,143.3,MSA
14260,"Boise City-Nampa, ID",616561,11765.6,52.4,MSA
14460,"Boston-Cambridge-Quincy, MA-NH",4552402,3487.4,1305.4,MSA
14500,"Boulder, CO",294567,726.3,405.6,MSA
14540,"Bowling Green, KY",125953,844.5,149.1,MSA
14740,"Bremerton-Silverdale, WA",251133,394.9,635.9,MSA
14860,"Bridgeport-Stamford-Norwalk, CT",916829,624.9,1467.2,MSA
15180,"Brownsville-Harlingen, TX",406220,890.9,456,MSA
15260,"Brunswick, GA",112370,1286.4,87.4,MSA
15380,"Buffalo-Niagara Falls, NY",1135509,1565.1,725.5,MSA
15500,"Burlington, NC",151131,423.9,356.5,MSA
15540,"Burlington-South Burlington, VT",211261,1252.1,168.7,MSA
15940,"Canton-Massillon, OH",404422,969.9,417,MSA
15980,"Cape Coral-Fort Myers, FL",618754,784.5,788.7,MSA
16020,"Cape Girardeau-Jackson, MO-IL",96275,1431.9,67.2,MSA
16180,"Carson City, NV",55274,144.7,382.1,MSA
