"year","period","periodName","value","seriesID"
"2016","M12","December","4.8","LAUCN050630000000003"
"2016","M11","November","4.2","LAUCN050630000000003"
"2016","M10","October","4.2","LAUCN050630000000003"
"2016","M09","September","4.6","LAUCN050630000000003"
"2016","M08","August","5.1","LAUCN050630000000003"
"2016","M07","July","5.6","LAUCN050630000000003"
"2016","M06","June","5.2","LAUCN050630000000003"
"2016","M05","May","4.8","LAUCN050630000000003"
"2016","M04","April","4.5","LAUCN050630000000003"
"2016","M03","March","5.0","LAUCN050630000000003"
"2016","M02","February","5.8","LAUCN050630000000003"
"2016","M01","January","6.2","LAUCN050630000000003"
"2015","M12","December","5.7","LAUCN050630000000003"
"2015","M11","November","5.6","LAUCN050630000000003"
"2015","M10","October","5.6","LAUCN050630000000003"
"2015","M09","September","5.9","LAUCN050630000000003"
"2015","M08","August","6.6","LAUCN050630000000003"
"2015","M07","July","6.8","LAUCN050630000000003"
"2015","M06","June","6.7","LAUCN050630000000003"
"2015","M05","May","6.6","LAUCN050630000000003"
"2015","M04","April","5.9","LAUCN050630000000003"
"2015","M03","March","6.7","LAUCN050630000000003"
"2015","M02","February","7.8","LAUCN050630000000003"
"2015","M01","January","7.9","LAUCN050630000000003"
"2014","M12","December","6.9","LAUCN050630000000003"
"2014","M11","November","6.6","LAUCN050630000000003"
"2014","M10","October","6.6","LAUCN050630000000003"
"2014","M09","September","7.3","LAUCN050630000000003"
"2014","M08","August","7.9","LAUCN050630000000003"
"2014","M07","July","8.7","LAUCN050630000000003"
"2014","M06","June","8.1","LAUCN050630000000003"
"2014","M05","May","7.5","LAUCN050630000000003"
"2014","M04","April","7.1","LAUCN050630000000003"
"2014","M03","March","8.2","LAUCN050630000000003"
"2014","M02","February","9.6","LAUCN050630000000003"
"2014","M01","January","9.8","LAUCN050630000000003"
"2013","M12","December","9.2","LAUCN050630000000003"
"2013","M11","November","9.0","LAUCN050630000000003"
"2013","M10","October","8.1","LAUCN050630000000003"
"2013","M09","September","8.5","LAUCN050630000000003"
"2013","M08","August","9.1","LAUCN050630000000003"
"2013","M07","July","9.8","LAUCN050630000000003"
"2013","M06","June","9.5","LAUCN050630000000003"
"2013","M05","May","8.9","LAUCN050630000000003"
"2013","M04","April","8.3","LAUCN050630000000003"
"2013","M03","March","8.8","LAUCN050630000000003"
"2013","M02","February","9.8","LAUCN050630000000003"
"2013","M01","January","10.5","LAUCN050630000000003"
