prcp.id,year,prcp.prcp,freq
US10adam001,2004,0,137
US10adam001,2004,1,20
US10adam001,2004,2,12
US10adam001,2004,3,6
US10adam001,2004,4,9
US10adam001,2004,5,4
US10adam001,2004,6,1
US10adam001,2005,0,217
US10adam001,2005,1,14
US10adam001,2005,2,7
US10adam001,2005,3,10
US10adam001,2005,4,12
US10adam001,2005,5,2
US10adam001,2005,6,1
US10adam001,2006,0,233
US10adam001,2006,1,22
US10adam001,2006,2,18
US10adam001,2006,3,11
US10adam001,2006,4,10
US10adam001,2006,5,4
US10adam001,2007,0,191
US10adam001,2007,1,19
US10adam001,2007,2,13
US10adam001,2007,3,17
US10adam001,2007,4,7
US10adam001,2007,5,6
US10adam001,2007,6,2
US10adam001,2008,0,162
US10adam001,2008,1,26
US10adam001,2008,2,14
US10adam001,2008,3,11
US10adam001,2008,4,12
US10adam001,2008,5,8
US10adam001,2008,6,2
US10adam001,2009,0,171
US10adam001,2009,1,36
US10adam001,2009,2,19
US10adam001,2009,3,11
US10adam001,2009,4,6
US10adam001,2009,5,2
US10adam001,2009,6,2
US10adam001,2010,0,187
US10adam001,2010,1,23
US10adam001,2010,2,15
US10adam001,2010,3,14
US10adam001,2010,4,17
US10adam001,2010,5,5
US10adam001,2010,6,1
US10adam001,2011,0,133
US10adam001,2011,1,22
US10adam001,2011,2,8
US10adam001,2011,3,12
US10adam001,2011,4,12
US10adam001,2011,5,4
US10adam001,2011,6,3
US10adam001,2012,0,218
US10adam001,2012,1,9
US10adam001,2012,2,5
US10adam001,2012,3,5
US10adam001,2012,4,14
US10adam001,2012,5,3
US10adam001,2013,0,91
US10adam001,2013,1,10
US10adam001,2013,2,10
US10adam001,2013,3,9
US10adam001,2013,4,4
US10adam001,2013,5,3
US10adam001,2013,6,1
US10adam002,2004,0,169
US10adam002,2004,1,27
US10adam002,2004,2,11
US10adam002,2004,3,8
US10adam002,2004,4,6
US10adam002,2004,5,5
US10adam002,2004,6,1
US10adam002,2005,0,284
