ICAO,NAME,ST,LAT,LON
PAAK,ATKA,AK,52.22,-174.21
PAAQ,PALMER,AK,61.6,-149.08
PABA,BARTER IS.,AK,70.13,-143.63
PABE,BETHEL,AK,60.78,-161.8
PABI,BIG DELTA/DELTA J,AK,64,-145.73
PABL,BUCKLAND,AK,65.99,-161.12
PABR,BARROW,AK,71.28,-156.78
PABT,BETTLES,AK,66.92,-151.52
PABV,BIRCHWOOD,AK,61.42,-149.52
PACD,COLD BAY,AK,55.22,-162.73
PACV,CORDOVA,AK,60.5,-145.5
PACZ,CAPE ROMANZOF,AK,61.78,-166.03
PADE,DEERING,AK,66.07,-162.77
PADK,ADAK IS.,AK,51.88,-176.65
PADL,DILLINGHAM,AK,59.05,-158.52
PADQ,KODIAK,AK,57.75,-152.52
PADT,SLANA ARPT.,AK,62.7,-143.98
PADU,DUTCH HARBOR/UNAK,AK,53.9,-166.53
PAED,ELMENDORF AFB,AK,61.25,-149.8
PAEG,EAGLE,AK,64.78,-141.16
PAEH,CAPE NEWENHAM,AK,58.65,-162.07
PAEI,EIELSON AFB,AK,64.65,-147.07
PAEM,EMMONAK,AK,62.77,-164.5
PAEN,KENAI,AK,60.57,-151.25
PAFA,FAIRBANKS,AK,64.82,-147.87
PAFB,WAINWRIGHT AAF,AK,64.83,-147.62
PAFE,KAKE_SEAPLANE,AK,56.97,-133.95
PAFM,AMBLER,AK,67.1,-157.85
PAGA,GALENA,AK,64.73,-156.93
PAGK,GULKANA,AK,62.15,-145.45
PAGL,GOLOVIN,AK,64.55,-163.03
PAGM,GAMBELL,AK,63.78,-171.75
PAGS,GUSTAVAS,AK,58.42,-135.73
PAGY,SKAGWAY,AK,59.45,-135.32
PAHL,HUSLIA,AK,65.7,-156.38
PAHN,HAINES,AK,59.24,-135.51
PAHO,HOMER,AK,59.63,-151.5
PAHP,HOOPER BAY,AK,61.53,-166.15
PAHY,HYDABURG_SEAPLANE,AK,55.2,-132.83
PAII,EGEGIK,AK,58.42,-157.37
PAIL,ILIAMNA,AK,59.75,-154.92
PAIM,INDIAN MTN,AK,66,-153.7
PAIN,MCKINLEY PARK,AK,63.72,-148.97
PAJC,CHIGNIK,AK,56.32,-158.36
PAJN,JUNEAU,AK,58.37,-134.58
PAKK,KOYUK,AK,64.93,-161.15
PAKN,KING SALMON,AK,58.68,-156.65
PAKP,ANAKTUVUK,AK,68.17,-151.77
PAKT,KETCHIKAN,AK,55.35,-131.7
PAKU,KUPARUK,AK,70.32,-149.58
PAKV,KALTAG,AK,64.32,-158.73
