"","GHCND.ID","EVENTS.begin_date","EVENTS.ID","EVENTS.begin_time_UTC","EVENTS.end_date","EVENTS.end_time_UTC","EVENTS.state","EVENTS.fips","EVENTS.type","EVENTS.czfips","EVENTS.czname","EVENTS.WFO","EVENTS.flood_cause","EVENTS.hurricane_category","EVENTS.tornado_F_scale","EVENTS.begin_lat","EVENTS.begin_lon","EVENTS.end_lat","EVENTS.end_lon","EVENTS.damage_value","EVENTS.damage_magnitude","EVENTS.damage_unit","GHCND.name","GHCND.lat","GHCND.lon","GHCND.dist_from_event.km","MOS.ICAO","MOS.name","MOS.lat","MOS.lon","MOS.st","MOS.dist_from_event.km","GHCND.prcp_cat","Q24.f2","Q24.f6"
"1","US10adam001",2013-07-31,467143,"0300",2013-07-31,"0559","TEXAS",48,"Heavy Rain",341,"MOORE","AMA","",NA,"",35.8724,-101.9796,35.843,-101.9633,0,3,"USD","JUNIATA 1.5 S",40.568,-98.5069,2.4402290899145,"KDUX","DUMAS/MOORE COUNTY",35.86,-102.01,"TX",3.07024224061984,0,"  0","  0"
"2","US10adam001",2013-08-01,475214,"0000",2013-08-02,"1200","NEBRASKA",31,"Heavy Rain",121,"MERRICK","GID","",NA,"",41.1,-98.28,41.1,-98.28,0,3,"USD","JUNIATA 1.5 S",40.568,-98.5069,1.3597844137852,"KGRI","GRAND ISLAND",40.97,-98.32,"NE",14.8561977826767,0,"  0","  1"
"3","US10adam002",2013-10-14,476624,"2301",2013-10-14,"0113","HAWAII",15,"Heavy Rain",9,"MAUI","HFO","",NA,"",20.7979,-156.3149,20.6689,-156.4027,0,3,"USD","JUNIATA 6.0 SSW",40.5093,-98.5493,0.09777853211571,"PHOG","KAHULUI/MAUI",20.9,-156.43,"HI",16.5092121782395,0,"  1","  0"
"4","US10adam008",2013-10-14,476626,"0127",2013-10-14,"0246","HAWAII",15,"Heavy Rain",1,"HAWAII","HFO","",NA,"",19.9606,-155.6516,19.8927,-155.804,0,3,"USD","GLENVIL 2.3 WSW",40.4953,-98.2973,0.85345237756351,"PHSF","BRADSHAW AAF",19.78,-155.55,"HI",22.7447210404382,4,"  0","  0"
"5","US10adam010",2013-08-21,462356,"1945",2013-08-21,"1945","KENTUCKY",21,"Heavy Rain",137,"LINCOLN","LMK","",NA,"",37.59,-84.66,37.59,-84.66,0,3,"USD","JUNIATA 6.9 WSW",40.5532,-98.6297,1.82800403798317,"KLEX","LEXINGTON",38.03,-84.6,"KY",49.2640004043629,0,"  0","  0"
"6","US10adam035",2013-08-12,474889,"0400",2013-08-12,"0400","MONTANA",30,"Heavy Rain",41,"HILL","TFX","",NA,"",48.4832,-110.55,48.4832,-110.55,0,3,"USD","JUNIATA 2.7 ENE",40.607,-98.4588,1.82045175459373,"KHVR","HAVRE",48.55,-109.77,"MT",57.9943754153307,4,"  0","  0"
"7","US10buff007",2013-10-05,480698,"0525",2013-10-06,"0700","KENTUCKY",21,"Heavy Rain",7,"BALLARD","PAH","",NA,"",36.97,-88.82,36.97,-88.82,0,3,"USD","RAVENNA 3.3 SE",40.9903,-98.8699,1.44198781355238,"KPAH","PADUCAH",37.07,-88.77,"KY",11.9862233005523,0,"  0","  4"
"8","US10chey019",2013-03-27,434631,"0754",2013-03-28,"1043","HAWAII",15,"Heavy Rain",1,"HAWAII","HFO","",NA,"",19.6842,-155.9537,19.4485,-155.8775,0,3,"USD","GURLEY 1.3 W",41.3264,-102.9948,2.10317507327234,"PHKO","KONA/KEAHOLE",19.65,-156,"HI",6.16846229165942,0,"  0","  0"
"9","US10clay004",2013-09-27,477096,"0000",2013-09-27,"0100","TEXAS",48,"Heavy Rain",357,"OCHILTREE","AMA","",NA,"",36.3945,-100.8166,36.3945,-100.8166,0,3,"USD","CLAY CENTER 2.8 W",40.5318,-98.107,1.33637584463611,"KPYX","PERRYTON/OCHILTREE",36.41,-100.75,"TX",6.21166633142656,0,"  0","  0"
"10","US10clay029",2013-07-31,474008,"0200",2013-07-31,"0200","KANSAS",20,"Heavy Rain",93,"KEARNY","DDC","",NA,"",38.06,-101.14,38.06,-101.14,0,3,"USD","FAIRFIELD 1.6 S",40.4086,-98.1087,1.46607487124599,"KGCK","GARDEN CITY",37.93,-100.72,"KS",39.5853312104467,0,"  0","  0"
