"","GHCND.ID","EVENTS.begin_date","EVENTS.ID","EVENTS.begin_time_UTC","EVENTS.end_date","EVENTS.end_time_UTC","EVENTS.state","EVENTS.fips","EVENTS.type","EVENTS.czfips","EVENTS.czname","EVENTS.WFO","EVENTS.flood_cause","EVENTS.hurricane_category","EVENTS.tornado_F_scale","EVENTS.begin_lat","EVENTS.begin_lon","EVENTS.end_lat","EVENTS.end_lon","EVENTS.damage_value","EVENTS.damage_magnitude","EVENTS.damage_unit","GHCND.name","GHCND.lat","GHCND.lon","GHCND.dist_from_event.km","MOS.ICAO","MOS.name","MOS.lat","MOS.lon","MOS.st","MOS.dist_from_event.km","GHCND.prcp_cat","Q24.f2","Q24.f6","judge1","judge2"
"1","US10adam013",2014-12-24,548789,"0455",2014-12-24,"0601","HAWAII",15,"Heavy Rain",3,"HONOLULU","HFO","",NA,"",21.4308,-158.0473,21.4199,-157.9628,0,3,"USD","HASTINGS 5.3 NNW",40.66,-98.42,0.843512928604619,"PHHI","WHEELER AFB",21.48,-158.03,"HI",5.76274582343266,0,"  2","  1",-2,-1
"2","US10box_024",2014-06-01,516860,"2320",2014-06-01,"2340","WISCONSIN",55,"Heavy Rain",39,"FOND DU LAC","MKX","",NA,"",43.836,-88.8173,43.836,-88.8173,0.5,3,"USD","HEMINGFORD 4.2 E",42.3263,-102.9934,0.714333932908838,"KOSH","OSKOSH",44,-88.57,"WI",26.9543056246187,5,"  0","  0",5,5
"3","US10box_030",2014-06-26,514610,"2145",2014-06-26,"2145","IOWA",19,"Heavy Rain",49,"DALLAS","DMX","",NA,"",41.61,-93.86,41.61,-93.86,0,3,"USD","HEMINGFORD 13.5 WSW",42.2357,-103.3072,1.37963570820433,"KDSM","DES MOINES",41.53,-93.65,"IA",19.6262635412841,1,"  0","  1",1,0
"4","US10buff002",2014-06-26,515149,"1500",2014-06-27,"1830","IOWA",19,"Heavy Rain",153,"POLK","DMX","",NA,"",41.604,-93.7178,41.604,-93.7178,0,3,"USD","KEARNEY 1.8 WNW",40.7062,-99.1142,0.646180135120807,"KDSM","DES MOINES",41.53,-93.65,"IA",9.9872814091932,0,"  0","  1",0,-1
"5","US10buff004",2014-06-26,515148,"1200",2014-06-27,"1200","IOWA",19,"Heavy Rain",1,"ADAIR","DMX","",NA,"",41.31,-94.46,41.31,-94.46,0,3,"USD","KEARNEY 0.9 SW",40.6908,-99.094,0.513638723531224,"KCSQ","CRESTON",41.02,-94.37,"IA",33.1520040513846,0,"  1","  1",-1,-1
"6","US10buff036",2014-06-01,510861,"1230",2014-06-01,"1230","MINNESOTA",27,"Heavy Rain",3,"ANOKA","MPX","",NA,"",45.2,-93.33,45.2,-93.33,0,3,"USD","RIVERDALE 0.2 WNW",40.7853,-99.1653,0.739217571008927,"KANE","ANOKA COUNTY ARPT",45.15,-93.22,"MN",10.2710196153976,0,"  3","  2",-3,-2
"7","US10chey021",2014-05-26,520303,"2030",2014-05-26,"0200","WISCONSIN",55,"Heavy Rain",75,"MARINETTE","GRB","",NA,"",45.15,-87.8,45.15,-87.8,0,3,"USD","SIDNEY 0.9 NNW",41.1554,-102.9844,0.704453710722386,"KMNM","MENOMINEE",45.12,-87.63,"MI",13.7613132939745,0,"  0","  0",0,0
"8","US10clay004",2014-09-10,533207,"1430",2014-09-10,"1430","IOWA",19,"Heavy Rain",123,"MAHASKA","DMX","",NA,"",41.36,-92.66,41.36,-92.66,0,3,"USD","CLAY CENTER 2.8 W",40.5318,-98.107,1.94580236079565,"KPEA","PELLA MUNI AP",41.4,-92.95,"IA",24.6288771027179,4,"  2","  2",2,2
"9","US10clay021",2014-09-10,533210,"1200",2014-09-10,"1200","IOWA",19,"Heavy Rain",123,"MAHASKA","DMX","",NA,"",41.32,-92.65,41.32,-92.65,0,3,"USD","CLAY CENTER 4.7 WSW",40.4813,-98.1273,2.16904732839146,"KPEA","PELLA MUNI AP",41.4,-92.95,"IA",26.6009909632819,4,"  2","  2",2,2
"10","US10dawe006",2014-06-26,515141,"1200",2014-06-27,"1200","IOWA",19,"Heavy Rain",49,"DALLAS","DMX","",NA,"",41.71,-93.89,41.71,-93.89,0,3,"USD","CRAWFORD 6.8 E",42.6675,-103.2848,1.41001163707013,"KIKV","ANKENY",41.69,-93.57,"IA",26.6899278874813,4,"  0","  1",4,3
"11","US10dawe017",2014-06-26,515143,"1200",2014-06-27,"1200","IOWA",19,"Heavy Rain",49,"DALLAS","DMX","",NA,"",41.79,-93.82,41.79,-93.82,0,3,"USD","MARSLAND 8.2 E",42.4672,-103.145,1.91889363731024,"KIKV","ANKENY",41.69,-93.57,"IA",23.5614701382784,1,"  0","  1",1,0
"12","US10dawe018",2014-06-26,515142,"1200",2014-06-27,"1200","IOWA",19,"Heavy Rain",49,"DALLAS","DMX","",NA,"",41.69,-93.97,41.69,-93.97,0,3,"USD","HEMINGFORD 13.2 N",42.5116,-103.1096,2.43274743889643,"KDSM","DES MOINES",41.53,-93.65,"IA",32.0407480334467,1,"  0","  1",1,0
"13","US10furn015",2014-06-19,514099,"2325",2014-06-19,"2325","IOWA",19,"Heavy Rain",161,"SAC","DMX","",NA,"",42.45,-95.03,42.45,-95.03,0,3,"USD","ARAPAHOE 4.8 SW",40.2463,-99.9516,8.37768091061241,"KSLB","STORM_LAKE",42.6,-95.23,"IA",23.4103786835378,4,"  0","  0",4,4
"14","US10furn018",2014-09-10,533217,"1200",2014-09-10,"1200","IOWA",19,"Heavy Rain",125,"MARION","DMX","",NA,"",41.47,-92.92,41.47,-92.92,0,3,"USD","OXFORD 0.2 WNW",40.2499,-99.6375,4.19247616630252,"KPEA","PELLA MUNI AP",41.4,-92.95,"IA",8.1847115316786,2,"  2","  2",0,0
"15","US10harl010",2014-07-06,532446,"1200",2014-07-07,"1200","MICHIGAN",26,"Heavy Rain",41,"DELTA","MQT","",NA,"",45.79,-86.94,45.79,-86.94,0,3,"USD","STAMFORD 1.9 E",40.1273,-99.5572,1.31843320532253,"KESC","ESCANABA",45.75,-87.05,"MI",9.63245265668459,0,"  0","  0",0,0
"16","US10morr007",2014-04-12,500514,"1200",2014-04-14,"1200","IOWA",19,"Heavy Rain",99,"JASPER","DMX","",NA,"",41.7,-93.05,41.7,-93.05,0,3,"USD","BROADWATER 8.4 S",41.4759,-102.8713,7.33003982464113,"KTNU","NEWTON_MUNI",41.68,-93.02,"IA",3.34306670936468,0,"  0","  0",0,0
"17","US10morr007",2014-04-12,500514,"1200",2014-04-14,"1200","IOWA",19,"Heavy Rain",99,"JASPER","DMX","",NA,"",41.7,-93.05,41.7,-93.05,0,3,"USD","BROADWATER 8.4 S",41.4759,-102.8713,7.33003982464113,"KTNU","NEWTON_MUNI",41.68,-93.02,"IA",3.34306670936468,0,"  0","  0",0,0
"18","US10morr007",2014-04-12,500505,"1200",2014-04-14,"1200","IOWA",19,"Heavy Rain",15,"BOONE","DMX","",NA,"",42.05,-93.88,42.05,-93.88,0,3,"USD","BROADWATER 8.4 S",41.4759,-102.8713,2.00007880743502,"KBNW","BOONE_MUNI",42.05,-93.85,"IA",2.47984407688828,0,"  0","  0",0,0
"19","US10morr007",2014-04-12,500505,"1200",2014-04-14,"1200","IOWA",19,"Heavy Rain",15,"BOONE","DMX","",NA,"",42.05,-93.88,42.05,-93.88,0,3,"USD","BROADWATER 8.4 S",41.4759,-102.8713,2.00007880743502,"KBNW","BOONE_MUNI",42.05,-93.85,"IA",2.47984407688828,0,"  0","  0",0,0
"20","US10nanc001",2014-06-07,510922,"2211",2014-06-07,"2211","IOWA",19,"Heavy Rain",51,"DAVIS","DMX","",NA,"",40.7,-92.27,40.7,-92.27,0,3,"USD","GENOA 2.7 WSW",41.4246,-97.7717,1.3875584226256,"KFFL","FAIRFIELD",41.05,-91.98,"IA",45.9768816132273,2,"  0","  0",2,2
"21","US10nanc006",2014-07-16,538467,"1300",2014-07-17,"1300","KANSAS",20,"Heavy Rain",97,"KIOWA","DDC","",NA,"",37.47,-99.47,37.47,-99.47,0,3,"USD","GENOA 7.5 WNW",41.4677,-97.8733,2.7622400903117,"KDDC","DODGE CITY",37.77,-99.97,"KS",55.3074142553287,0,"  0","  3",0,-3
"22","US10nuck020",2014-07-10,530322,"1600",2014-07-10,"1600","NEBRASKA",31,"Heavy Rain",89,"HOLT","LBF","",NA,"",42.2,-99.02,42.2,-99.02,0,3,"USD","DEWEESE 4.8 SSE",40.2859,-98.1236,2.053010604107,"KONL","O'NEILL",42.47,-98.68,"NE",41.0629614989007,4,"  0","  0",4,4
"23","US10phel001",2014-09-10,533204,"1154",2014-09-10,"1154","IOWA",19,"Heavy Rain",153,"POLK","DMX","",NA,"",41.53,-93.66,41.53,-93.66,0,3,"USD","WILCOX 1.1 NNW",40.3797,-99.1797,4.39534862002221,"KDSM","DES MOINES",41.53,-93.65,"IA",0.833347360230783,2,"  3","  2",-1,0
"24","US10polk001",2014-08-11,528147,"0315",2014-08-11,"0530","ARIZONA",4,"Heavy Rain",13,"MARICOPA","PSR","",NA,"",33.86,-112.12,33.86,-112.12,0,3,"USD","STROMSBURG 0.9 E",41.113,-97.5828,0.79619209051986,"KDVT","DEER VLY/PHOENIX",33.69,-112.07,"AZ",19.481656177834,0,"  0","  0",0,0
"25","US10polk012",2014-07-29,525571,"0700",2014-07-29,"1500","NEW MEXICO",35,"Heavy Rain",37,"QUAY","ABQ","",NA,"",34.6645,-103.9,34.6645,-103.9,0,3,"USD","OSCEOLA 4.5 NE",41.2359,-97.5051,2.19906702773668,"KCVS","CANNON AFB",34.38,-103.32,"NM",61.909451849343,0,"  1","  1",-1,-1
"26","US10polk013",2014-06-11,519645,"1200",2014-06-12,"1200","KANSAS",20,"Heavy Rain",163,"ROOKS","GID","",NA,"",39.3487,-99.1,39.3487,-99.1,0,3,"USD","OSCEOLA 6.9 N",41.2372,-97.5614,4.85360726854895,"KHYS","HAYS",38.85,-99.27,"KS",57.4247445360313,0,"  1","  0",-1,0
"27","US10polk019",2014-08-22,536139,"0300",2014-08-23,"0000","MICHIGAN",26,"Heavy Rain",103,"MARQUETTE","MQT","",NA,"",46.25,-88.01,46.25,-88.01,0,3,"USD","GRESHAM 6.9 NW",41.1065,-97.484,6.01070830930323,"KSAW","GWINN",46.35,-87.4,"MI",48.2167811387491,3,"  1","  0",2,3
"28","US10scot020",2014-04-12,500508,"1200",2014-04-14,"1200","IOWA",19,"Heavy Rain",29,"CASS","DMX","",NA,"",41.25,-94.77,41.25,-94.77,0,3,"USD","SCOTTSBLUFF 6.6 NE",41.935,-103.5792,0.794754803098543,"KAIO","ATLANTIC",41.4,-95.05,"IA",28.7529301382169,0,"  0","  0",0,0
"29","US10siou005",2014-04-12,500512,"1200",2014-04-14,"1200","IOWA",19,"Heavy Rain",75,"GRUNDY","DMX","",NA,"",42.36,-92.77,42.36,-92.77,0,3,"USD","HARRISON 23.7 SSE",42.3579,-103.7547,4.77217907367,"KMIW","MARSHALLTOWN ARPT",42.11,-92.92,"IA",30.4523530175461,0,"  0","  0",0,0
