"cbsatype10","county","cntyname","LandSQMI","afact"
"cbsatype10","county","cntyname","Land Area Sq Mls","cbsatype10 to county alloc factor"
" ","01011","Bullock AL",622.805,0 
" ","01013","Butler AL",776.829,0 
" ","01019","Cherokee AL",553.7,0 
" ","01023","Choctaw AL",913.5,0 
" ","01025","Clarke AL",1238.465,0.001 
" ","01027","Clay AL",603.961,0 
" ","01029","Cleburne AL",560.1,0 
" ","01035","Conecuh AL",850.156,0 
" ","01039","Covington AL",1030.456,0.001 
" ","01041","Crenshaw AL",608.84,0 
" ","01053","Escambia AL",945.08,0.001 
" ","01057","Fayette AL",627.66,0 
" ","01059","Franklin AL",633.821,0 
" ","01075","Lamar AL",604.846,0 
" ","01091","Marengo AL",976.882,0.001 
" ","01093","Marion AL",742.292,0 
" ","01099","Monroe AL",1025.675,0.001 
" ","01105","Perry AL",719.664,0 
" ","01107","Pickens AL",881.408,0 
" ","01111","Randolph AL",580.55,0 
" ","01119","Sumter AL",903.887,0 
" ","01129","Washington AL",1080.207,0.001 
" ","01131","Wilcox AL",888.498,0 
" ","01133","Winston AL",612.979,0 
" ","02013","Aleutians East Borough AK",6981.943,0.004 
" ","02016","Aleutians West Census Area AK",4390.276,0.002 
" ","02050","Bethel Census Area AK",40570.004,0.022 
" ","02060","Bristol Bay Borough AK",503.843,0 
" ","02068","Denali Borough AK",12751.411,0.007 
" ","02070","Dillingham Census Area AK",18568.778,0.01 
" ","02100","Haines Borough AK",2318.6,0.001 
" ","02105","Hoonah-Angoon Census Area",7524.915,0.004 
" ","02122","Kenai Peninsula Borough AK",16075.331,0.009 
" ","02164","Lake and Peninsula Borough AK",23652.009,0.013 
" ","02180","Nome Census Area AK",22961.761,0.012 
" ","02185","North Slope Borough AK",88695.413,0.047 
" ","02188","Northwest Arctic Borough AK",35572.584,0.019 
" ","02195","Petersburg Census Area",3281.982,0.002 
" ","02198","Prince of Wales-Hyder Census Area",3922.873,0.002 
" ","02220","Sitka Borough AK",2870.339,0.002 
" ","02230","Skagway Municipality",452.325,0 
" ","02240","Southeast Fairbanks Census Area AK",24768.808,0.013 
" ","02261","Valdez-Cordova Census Area AK",34239.88,0.018 
" ","02270","Wade Hampton Census Area AK (D)",17081.433,0.009 
" ","02275","Wrangell City and Borough",2541.483,0.001 
" ","02282","Yakutat Borough",7649.457,0.004 
" ","02290","Yukon-Koyukuk Census Area AK",145504.789,0.077 
" ","04001","Apache AZ",11197.521,0.006 
" ","04012","La Paz AZ",4499.629,0.002 
" ","05001","Arkansas AR",988.77,0.001 
" ","05003","Ashley AR",925.349,0 
" ","05011","Bradley AR",649.231,0 
" ","05015","Carroll AR",630.087,0 
" ","05017","Chicot AR",644.304,0 
" ","05021","Clay AR",639.465,0 
" ","05023","Cleburne AR",553.692,0 
" ","05029","Conway AR",552.25,0 
" ","05037","Cross AR",616.381,0 
" ","05039","Dallas AR",667.386,0 
" ","05041","Desha AR",768.152,0 
" ","05043","Drew AR",828.356,0 
" ","05049","Fulton AR",618.194,0 
" ","05059","Hot Spring AR",615.202,0 
" ","05061","Howard AR",588.554,0 
" ","05065","Izard AR",580.577,0 
" ","05067","Jackson AR",633.938,0 
" ","05071","Johnson AR",659.804,0 
" ","05073","Lafayette AR",528.268,0 
" ","05075","Lawrence AR",587.614,0 
" ","05077","Lee AR",602.621,0 
" ","05081","Little River AR",532.253,0 
" ","05083","Logan AR",708.125,0 
" ","05089","Marion AR",597.009,0 
" ","05095","Monroe AR",607.122,0 
" ","05097","Montgomery AR",779.88,0 
" ","05109","Pike AR",600.618,0 
" ","05113","Polk AR",857.679,0 
" ","05117","Prairie AR",647.958,0 
" ","05121","Randolph AR",652.191,0 
" ","05127","Scott AR",892.32,0 
" ","05129","Searcy AR",666.095,0 
" ","05133","Sevier AR",565.126,0 
" ","05135","Sharp AR",604.439,0 
" ","05137","Stone AR",606.405,0 
" ","05141","Van Buren AR",708.143,0 
" ","05147","Woodruff AR",586.791,0 
" ","06003","Alpine CA",738.332,0 
" ","06005","Amador CA",594.583,0 
" ","06009","Calaveras CA",1020.012,0.001 
" ","06011","Colusa CA",1150.731,0.001 
" ","06021","Glenn CA",1313.947,0.001 
" ","06043","Mariposa CA",1448.816,0.001 
" ","06049","Modoc CA",3917.77,0.002 
" ","06051","Mono CA",3048.982,0.002 
" ","06063","Plumas CA",2553.043,0.001 
" ","06091","Sierra CA",953.214,0.001 
" ","06093","Siskiyou CA",6277.887,0.003 
" ","06105","Trinity CA",3179.254,0.002 
" ","08003","Alamosa CO",722.643,0 
" ","08007","Archuleta CO",1350.175,0.001 
" ","08009","Baca CO",2554.967,0.001 
" ","08011","Bent CO",1512.861,0.001 
" ","08015","Chaffee CO",1013.403,0.001 
" ","08017","Cheyenne CO",1778.276,0.001 
" ","08021","Conejos CO",1287.391,0.001 
" ","08023","Costilla CO",1226.952,0.001 
" ","08025","Crowley CO",787.421,0 
" ","08027","Custer CO",738.625,0 
" ","08029","Delta CO",1142.05,0.001 
" ","08033","Dolores CO",1067.051,0.001 
" ","08045","Garfield CO",2947.563,0.002 
" ","08049","Grand CO",1846.33,0.001 
" ","08051","Gunnison CO",3239.1,0.002 
" ","08053","Hinsdale CO",1117.251,0.001 
" ","08055","Huerfano CO",1591.001,0.001 
" ","08057","Jackson CO",1613.723,0.001 
" ","08061","Kiowa CO",1767.767,0.001 
" ","08063","Kit Carson CO",2160.822,0.001 
" ","08071","Las Animas CO",4772.672,0.003 
" ","08073","Lincoln CO",2577.626,0.001 
" ","08079","Mineral CO",875.666,0 
" ","08081","Moffat CO",4743.29,0.003 
" ","08083","Montezuma CO",2029.527,0.001 
" ","08089","Otero CO",1261.961,0.001 
" ","08091","Ouray CO",541.593,0 
" ","08095","Phillips CO",687.928,0 
" ","08097","Pitkin CO",970.697,0.001 
" ","08099","Prowers CO",1638.395,0.001 
" ","08103","Rio Blanco CO",3220.934,0.002 
" ","08105","Rio Grande CO",911.958,0 
" ","08107","Routt CO",2362.026,0.001 
" ","08109","Saguache CO",3168.525,0.002 
" ","08111","San Juan CO",387.488,0 
" ","08113","San Miguel CO",1286.611,0.001 
" ","08115","Sedgwick CO",548.041,0 
" ","08121","Washington CO",2518.031,0.001 
" ","08125","Yuma CO",2364.405,0.001 
" ","12007","Bradford FL",293.962,0 
" ","12013","Calhoun FL",567.334,0 
" ","12029","Dixie FL",705.053,0 
" ","12037","Franklin FL",534.725,0 
" ","12043","Glades FL",806.009,0 
" ","12045","Gulf FL",564.012,0 
" ","12047","Hamilton FL",513.79,0 
" ","12059","Holmes FL",478.777,0 
" ","12063","Jackson FL",917.76,0 
" ","12067","Lafayette FL",543.411,0 
" ","12075","Levy FL",1118.206,0.001 
" ","12077","Liberty FL",835.562,0 
" ","12079","Madison FL",695.948,0 
" ","12121","Suwannee FL",688.552,0 
" ","12123","Taylor FL",1043.305,0.001 
" ","12125","Union FL",243.556,0 
" ","12131","Walton FL",1037.625,0.001 
" ","12133","Washington FL",582.803,0 
" ","13001","Appling GA",507.081,0 
" ","13005","Bacon GA",258.576,0 
" ","13011","Banks GA",232.091,0 
" ","13019","Berrien GA",451.897,0 
" ","13023","Bleckley GA",215.87,0 
" ","13037","Calhoun GA",280.367,0 
" ","13043","Candler GA",243.044,0 
" ","13049","Charlton GA",773.576,0 
" ","13061","Clay GA",195.381,0 
" ","13065","Clinch GA",800.222,0 
" ","13075","Cook GA",227.162,0 
" ","13091","Dodge GA",495.89,0 
" ","13093","Dooly GA",391.94,0 
" ","13099","Early GA",512.594,0 
" ","13105","Elbert GA",351.055,0 
" ","13107","Emanuel GA",680.604,0 
" ","13109","Evans GA",182.853,0 
" ","13111","Fannin GA",386.723,0 
" ","13119","Franklin GA",261.497,0 
" ","13123","Gilmer GA",426.54,0 
" ","13125","Glascock GA",143.74,0 
" ","13131","Grady GA",454.527,0 
" ","13133","Greene GA",387.435,0 
" ","13147","Hart GA",232.394,0 
" ","13157","Jackson GA",339.663,0 
" ","13161","Jeff Davis GA",330.74,0 
" ","13163","Jefferson GA",526.485,0 
" ","13165","Jenkins GA",347.279,0 
" ","13181","Lincoln GA",210.38,0 
" ","13187","Lumpkin GA",282.933,0 
" ","13193","Macon GA",400.641,0 
" ","13201","Miller GA",282.421,0 
" ","13205","Mitchell GA",512.085,0 
" ","13211","Morgan GA",347.349,0 
" ","13235","Pulaski GA",249.031,0 
" ","13237","Putnam GA",344.639,0 
" ","13241","Rabun GA",369.993,0 
" ","13243","Randolph GA",428.236,0 
" ","13251","Screven GA",645.101,0 
" ","13253","Seminole GA",235.226,0 
" ","13259","Stewart GA",458.733,0 
" ","13263","Talbot GA",391.389,0 
" ","13265","Taliaferro GA",194.608,0 
" ","13267","Tattnall GA",479.403,0 
" ","13269","Taylor GA",376.686,0 
" ","13271","Telfair GA",437.303,0 
