cbsatype10,county,cntyname,pop10,afact
cbsatype10,county,cntyname,"Total Pop, 2010 census",cbsatype10 to county alloc factor
 ,1011,Bullock AL,10914,0.001
 ,1013,Butler AL,20947,0.001
 ,1019,Cherokee AL,25989,0.001
 ,1023,Choctaw AL,13859,0.001
 ,1025,Clarke AL,25833,0.001
 ,1027,Clay AL,13932,0.001
 ,1029,Cleburne AL,14972,0.001
 ,1035,Conecuh AL,13228,0.001
 ,1039,Covington AL,37765,0.002
 ,1041,Crenshaw AL,13906,0.001
 ,1053,Escambia AL,38319,0.002
 ,1057,Fayette AL,17241,0.001
 ,1059,Franklin AL,31704,0.002
 ,1075,Lamar AL,14564,0.001
 ,1091,Marengo AL,21027,0.001
 ,1093,Marion AL,30776,0.002
 ,1099,Monroe AL,23068,0.001
 ,1105,Perry AL,10591,0.001
 ,1107,Pickens AL,19746,0.001
 ,1111,Randolph AL,22913,0.001
 ,1119,Sumter AL,13763,0.001
 ,1129,Washington AL,17581,0.001
 ,1131,Wilcox AL,11670,0.001
 ,1133,Winston AL,24484,0.001
 ,2013,Aleutians East Borough AK,3141,0
 ,2016,Aleutians West Census Area AK,5561,0
 ,2050,Bethel Census Area AK,17013,0.001
 ,2060,Bristol Bay Borough AK,997,0
 ,2068,Denali Borough AK,1826,0
 ,2070,Dillingham Census Area AK,4847,0
 ,2100,Haines Borough AK,2508,0
 ,2105,Hoonah-Angoon Census Area,2150,0
 ,2122,Kenai Peninsula Borough AK,55400,0.003
 ,2164,Lake and Peninsula Borough AK,1631,0
 ,2180,Nome Census Area AK,9492,0
 ,2185,North Slope Borough AK,9430,0
 ,2188,Northwest Arctic Borough AK,7523,0
 ,2195,Petersburg Census Area,3815,0
 ,2198,Prince of Wales-Hyder Census Area,5559,0
 ,2220,Sitka Borough AK,8881,0
 ,2230,Skagway Municipality,968,0
 ,2240,Southeast Fairbanks Census Area AK,7029,0
 ,2261,Valdez-Cordova Census Area AK,9636,0
 ,2270,Wade Hampton Census Area AK (D),7459,0
 ,2275,Wrangell City and Borough,2369,0
 ,2282,Yakutat Borough,662,0
 ,2290,Yukon-Koyukuk Census Area AK,5588,0
 ,4001,Apache AZ,71518,0.004
 ,4012,La Paz AZ,20489,0.001
 ,5001,Arkansas AR,19019,0.001
 ,5003,Ashley AR,21853,0.001
 ,5011,Bradley AR,11508,0.001
 ,5015,Carroll AR,27446,0.001
 ,5017,Chicot AR,11800,0.001
 ,5021,Clay AR,16083,0.001
 ,5023,Cleburne AR,25970,0.001
 ,5029,Conway AR,21273,0.001
 ,5037,Cross AR,17870,0.001
 ,5039,Dallas AR,8116,0
 ,5041,Desha AR,13008,0.001
 ,5043,Drew AR,18509,0.001
 ,5049,Fulton AR,12245,0.001
 ,5059,Hot Spring AR,32923,0.002
 ,5061,Howard AR,13789,0.001
 ,5065,Izard AR,13696,0.001
 ,5067,Jackson AR,17997,0.001
 ,5071,Johnson AR,25540,0.001
 ,5073,Lafayette AR,7645,0
 ,5075,Lawrence AR,17415,0.001
 ,5077,Lee AR,10424,0.001
 ,5081,Little River AR,13171,0.001
 ,5083,Logan AR,22353,0.001
 ,5089,Marion AR,16653,0.001
 ,5095,Monroe AR,8149,0
 ,5097,Montgomery AR,9487,0
 ,5109,Pike AR,11291,0.001
 ,5113,Polk AR,20662,0.001
 ,5117,Prairie AR,8715,0
 ,5121,Randolph AR,17969,0.001
 ,5127,Scott AR,11233,0.001
 ,5129,Searcy AR,8195,0
 ,5133,Sevier AR,17058,0.001
 ,5135,Sharp AR,17264,0.001
 ,5137,Stone AR,12394,0.001
 ,5141,Van Buren AR,17295,0.001
 ,5147,Woodruff AR,7260,0
 ,6003,Alpine CA,1175,0
 ,6005,Amador CA,38091,0.002
 ,6009,Calaveras CA,45578,0.002
 ,6011,Colusa CA,21419,0.001
 ,6021,Glenn CA,28122,0.001
 ,6043,Mariposa CA,18251,0.001
 ,6049,Modoc CA,9686,0
 ,6051,Mono CA,14202,0.001
 ,6063,Plumas CA,20007,0.001
 ,6091,Sierra CA,3240,0
 ,6093,Siskiyou CA,44900,0.002
 ,6105,Trinity CA,13786,0.001
 ,8003,Alamosa CO,15445,0.001
 ,8007,Archuleta CO,12084,0.001
 ,8009,Baca CO,3788,0
 ,8011,Bent CO,6499,0
 ,8015,Chaffee CO,17809,0.001
 ,8017,Cheyenne CO,1836,0
 ,8021,Conejos CO,8256,0
 ,8023,Costilla CO,3524,0
 ,8025,Crowley CO,5823,0
 ,8027,Custer CO,4255,0
 ,8029,Delta CO,30952,0.002
 ,8033,Dolores CO,2064,0
 ,8045,Garfield CO,56389,0.003
 ,8049,Grand CO,14843,0.001
 ,8051,Gunnison CO,15324,0.001
 ,8053,Hinsdale CO,843,0
 ,8055,Huerfano CO,6711,0
 ,8057,Jackson CO,1394,0
 ,8061,Kiowa CO,1398,0
 ,8063,Kit Carson CO,8270,0
 ,8071,Las Animas CO,15507,0.001
 ,8073,Lincoln CO,5467,0
 ,8079,Mineral CO,712,0
 ,8081,Moffat CO,13795,0.001
 ,8083,Montezuma CO,25535,0.001
 ,8089,Otero CO,18831,0.001
 ,8091,Ouray CO,4436,0
 ,8095,Phillips CO,4442,0
 ,8097,Pitkin CO,17148,0.001
 ,8099,Prowers CO,12551,0.001
 ,8103,Rio Blanco CO,6666,0
 ,8105,Rio Grande CO,11982,0.001
 ,8107,Routt CO,23509,0.001
 ,8109,Saguache CO,6108,0
 ,8111,San Juan CO,699,0
 ,8113,San Miguel CO,7359,0
 ,8115,Sedgwick CO,2379,0
 ,8121,Washington CO,4814,0
 ,8125,Yuma CO,10043,0.001
 ,12007,Bradford FL,28520,0.001
 ,12013,Calhoun FL,14625,0.001
 ,12029,Dixie FL,16422,0.001
 ,12037,Franklin FL,11549,0.001
 ,12043,Glades FL,12884,0.001
 ,12045,Gulf FL,15863,0.001
 ,12047,Hamilton FL,14799,0.001
 ,12059,Holmes FL,19927,0.001
 ,12063,Jackson FL,49746,0.003
 ,12067,Lafayette FL,8870,0
 ,12075,Levy FL,40801,0.002
 ,12077,Liberty FL,8365,0
 ,12079,Madison FL,19224,0.001
 ,12121,Suwannee FL,41551,0.002
 ,12123,Taylor FL,22570,0.001
 ,12125,Union FL,15535,0.001
 ,12131,Walton FL,55043,0.003
 ,12133,Washington FL,24896,0.001
 ,13001,Appling GA,18236,0.001
 ,13005,Bacon GA,11096,0.001
 ,13011,Banks GA,18395,0.001
 ,13019,Berrien GA,19286,0.001
 ,13023,Bleckley GA,13063,0.001
 ,13037,Calhoun GA,6694,0
 ,13043,Candler GA,10998,0.001
 ,13049,Charlton GA,12171,0.001
 ,13061,Clay GA,3183,0
 ,13065,Clinch GA,6798,0
 ,13075,Cook GA,17212,0.001
 ,13091,Dodge GA,21796,0.001
 ,13093,Dooly GA,14918,0.001
 ,13099,Early GA,11008,0.001
 ,13105,Elbert GA,20166,0.001
 ,13107,Emanuel GA,22598,0.001
 ,13109,Evans GA,11000,0.001
 ,13111,Fannin GA,23682,0.001
 ,13119,Franklin GA,22084,0.001
 ,13123,Gilmer GA,28292,0.001
 ,13125,Glascock GA,3082,0
 ,13131,Grady GA,25011,0.001
 ,13133,Greene GA,15994,0.001
 ,13147,Hart GA,25213,0.001
 ,13157,Jackson GA,60485,0.003
 ,13161,Jeff Davis GA,15068,0.001
 ,13163,Jefferson GA,16930,0.001
 ,13165,Jenkins GA,8340,0
 ,13181,Lincoln GA,7996,0
 ,13187,Lumpkin GA,29966,0.002
 ,13193,Macon GA,14740,0.001
 ,13201,Miller GA,6125,0
 ,13205,Mitchell GA,23498,0.001
 ,13211,Morgan GA,17868,0.001
 ,13235,Pulaski GA,12010,0.001
 ,13237,Putnam GA,21218,0.001
 ,13241,Rabun GA,16276,0.001
 ,13243,Randolph GA,7719,0
 ,13251,Screven GA,14593,0.001
 ,13253,Seminole GA,8729,0
 ,13259,Stewart GA,6058,0
 ,13263,Talbot GA,6865,0
 ,13265,Taliaferro GA,1717,0
 ,13267,Tattnall GA,25520,0.001
 ,13269,Taylor GA,8906,0
 ,13271,Telfair GA,16500,0.001
 ,13281,Towns GA,10471,0.001
 ,13283,Treutlen GA,6885,0
 ,13287,Turner GA,8930,0
